ID,Active,Title,Context,Category,Tags,Timeline,Description,Tech,Image,Thumb,PublicURL,ProjectURL,SourceURL
K10_00,0,10k Interactive,,,,,,,,,,,
K10_01,1,MyLNI,Orca Software,JS Application,,"January, 2015 - May, 2015","Washington State Labor and Industries maintains enterprise-level web systems to manage client accounts of all types. To that end, the MyLNI initiative aims to modernize many aging systems and provide a simplified interface for users to gain access to the many applications where they may need to interact. The tech stack is as broad as it is complex.

My efforts, as a User Interface developer, were aimed at the Employer Dashboard, wherein users may obtain a quick overview of the state of their claims, accounts, licenses, and inspections. I worked with this team to consume and present numerous data points in a logical, and simplified way. We developed a single page JS application, to this end, leveraging various frameworks and libraries, including : Backbone, Marionette, Underscore, jQuery, Gulp, Grunt, .Net, VB, and others. 

MyLNI Dashboards were released in January, 2016 and serves a user base of ~500k, with upwards of ~30 million monthly visits.","JavaScript, HTML, CSS, AJAX, JSON, Backbone, Node/NPM, Grunt, jQuery, Underscore, Requirejs, Visual Studio, Sublime Text, Photoshop, Illustrator, UXPin","K10_01__01,K10_01__02,K10_01__03,K10_01__04,K10_01__05,K10_01__06",MyLNI_thumb.450x450.jpg,secure.lni.wa.gov/home,,
K10_02,1,Secure Message Center,Orca Software,JS Application,,"May, 2015 - Feb, 2016","Washington State Labor and Industries maintains enterprise-level web systems to manage client accounts of all types. Part of this enterprise includes making secure messaging available to many users. This project was intended to upgrade and replace two legacy systems, built to that end. 

As the Lead UI developer, I was tasked with designing an architectural pattern to facilitate the wireframes and designs that had come out of two years of preliminary work. To this end, I worked with another UI dev to develop an implementation of the emerging ""Flux"" pattern, within the context of javascript frameworks like Backbone, Marionette, Require, Node, Gulp and Grunt, among others. 

Secure Message Center was release in February, 2016, and currently serves a user base of ~500k with upwards of ~30 million monthly visits.","Javascript, HTML, CSS, Sass, AJAX, JSON, Backbone, Marionette, Node, NPM, Grunt, Gulp, jQuery, Underscore, Bower, Requirejs, Mocha, Chai, .NET, VB, TFS, Git, SourceTree, Visual Studio, Sublime Text, Atom, Photoshop, Illustrator","K10_02__01,K10_02__02,K10_02__03,K10_02__04,K10_02__05,K10_02__06",SMC_thumb.450x450.jpg,secure.lni.wa.gov/home,https://github.com/Bosworth99/10K_Code_Samples/tree/master/SMC,
K10_03,0,Electronic Plan Submittal ,Orca Software,UX Prototype,,,Prototype design via UXPin ,"UXPin, Wireframe Prototype, UX, UCD",,,,,
K10_04,0,10k-Interactive.com,10k Interactive,Content Site,,"Jan, 2016 - Ongoing",,"Backbone, Marionette, Underscore, Jquery, ES5, Sass, Require, Node, Bower, Gulp",,,,,
K10_05,0,10k Logo,10k Interactive,Graphic Design,,"Sep, 2015 - ",,"Illustrator, Photoshop","K10_05__01,K10_05__02,K10_05__03,K10_05__04",,,,
Wax_00,0,Waxwing Interactive,,,,,,,,,,,
Wax_01,1,N8 Site Builder,Waxwing Interactive,"JS Application, CMS",,"Sep, 2012 - Jan, 2015 ","The N8 Site Builder is a bespoke CMS that I worked on between 2012 and 2015. The goal was to build a clean-burning website platform that tailored to the unique needs of ChiroHosting's substantial client load.

We needed the ability to manage many client websites in a uniform way, with plenty of flexibility and power built into the interface. I developed a substantial UI layer that leveraged AJAX to create and edit profiles and pages, upload media, create blogs, manage users, edit permissions etc; this is a full-featured system, on par with something like Wordpress. 

Although I was the principle front-end developer on the project, my role extended into everything from early conception and business requirements to engineering platform architectures to performing agile project management. I designed and implemented a system of single-click theme swapping that actually worked. I did layout and design for 6 different themes, each with their own customized set of options.

I also worked with a team of energetic folks to roll this system into production and migrate hundreds of existing clients onto the new platforms. We needed to analyze current business practices and worked hard to streamline the interplay of online systems and human resources. We finally released v1.0 in January of 2015.

The N8 Site Builder continues to deliver high-quality websites to ChiroHosting's many clients.
","Javascript, HTML, CSS, jQuery, AJAX, JSON, Linux, PHP, MySQL, Less, Smarty, SVN, SublimeText, Photoshop, Illustrator, Google Docs, Trello, Unfuddle","Wax_01,Wax_02,Wax_03,Wax_04,Wax_05,Wax_06,Wax_07,Wax_08,Wax_09,Wax_10,Wax_11,Wax_12,Wax_13,Wax_14,Wax_15,Wax_16,Wax_17,Wax_18,Wax_19,Wax_20,Wax_21,Wax_22,Wax_23",N8_thumb.450x450.jpg,https://www.chirohosting.com/chiropractic-website-design.php,https://github.com/Bosworth99/10K_Code_Samples/tree/master/N8_SiteBuilder,
Wax_02,0,ChiroHosting.com,Waxwing Interactive,Sales Site,,,,,,,,,
Wax_03,0,WaxwingLegal.com,Waxwing Interactive,Sales Site,,,,,,,,,
Wax_04,0,WaxwingLegal Logo,Waxwing Interactive,Graphic Design,,,,,,,,,
WCI_00,0,Washington CI,,,,,,,,,,,
WCI_01,0,WashingtonCI.com,Washington CI,Ecommerce Site,,"Jan, 2011 - Jan, 2012",,"Magento, PHP, MySQL, JS, JQuery, HTML, CSS, Photoshop, Illustrator",,,,,
WCI_02,0,Your Market : Governent,Washington CI,Flash Micro-Site,,,,,,,,,
WCI_03,0,Your Market : Non-Profits,Washington CI,Flash Micro-Site,,,,,,,,,
WCI_04,0,Your Market : Higher Ed,Washington CI,Flash Micro-Site,,,,,,,,,
WCI_05,0,Your Market : K12,Washington CI,Flash Micro-Site,,,,,,,,,
WCI_06,0,Your Market : Public Safety,Washington CI,Flash Micro-Site,,,,,,,,,
WCI_07,0,Product Photography,Washington CI,Photography,,,,,,,,,
WCI_08,0,3D Rendering,Washington CI,3D Imaging,,,,,,,,,
WCI_09,0,Persona Illustrations,Washington CI,Illustration,,,,,,,,,
PER_00,0,Personal ,,,,,,,,,,,
PER_01,0,joshbosworth.com,,,,,,,,,,,
PER_02,0,Workbench ,,,,,,,,,,,
PER_03,0,CodePen.io,,,,,,,,,,,
PER_04,0,EightyDays,,,,,,,,,,,
PER_05,0,3D Wasp model,,,,,,,,,,,
PER_06,0,Illustrations / Behance,,,,,,,,,,,
NFZ_00,0,,,,,,,,,,,,
NFZ_01,0,InFusion Flash Site,,,,,,,,,,,
NFZ_02,0,InFusion Flash Logo,,,,,,,,,,,
NFZ_03,0,InFusion Illustration,,,,,,,,,,,
